name,type,family,tabler_mit,lucide_isc,official_logo_cc0,mark,color
"HTTP","protocol","Web","world","globe","","",""
"HTTPS / TLS","protocol","Web","lock","globe-lock","openssl","OpenSSL","#721412"
"SSH","protocol","Access","terminal-2","square-terminal","","",""
"Telnet","protocol","Access","prompt","terminal","","",""
"FTP","protocol","Files","file-upload","file-up","","",""
"SFTP / SCP","protocol","Files","folder-share","folder-sync","","",""
"WebDAV","protocol","Files","folder-cog","folder-cog","","",""
"SMB / CIFS","protocol","Files","device-desktop-share","hard-drive","","",""
"NFS","protocol","Files","share-3","server","","",""
"REST","protocol","API","api","braces","openapiinitiative","OpenAPI Initiative","#6BA539"
"GraphQL","protocol","API","hierarchy-2","share-2","graphql","GraphQL","#E10098"
"gRPC","protocol","API","arrows-right-left","arrow-left-right","","",""
"SOAP / XML-RPC","protocol","API","file-code","file-code","xml","XML","#005FAD"
"WebSocket","protocol","Real time","plug-connected","plug-zap","socketdotio","Socket.io","#010101"
"Webhook","protocol","API","webhook","webhook","","",""
"MQTT","protocol","Messaging","broadcast","radio-tower","mqtt","MQTT","#660066"
"AMQP","protocol","Messaging","stack-2","layers","rabbitmq","RabbitMQ","#FF6600"
"XMPP","protocol","Messaging","messages","messages-square","xmpp","XMPP","#002B5C"
"SMTP","protocol","Mail","mail-fast","mail","","",""
"IMAP","protocol","Mail","mail-opened","mail-open","","",""
"POP3","protocol","Mail","mailbox","inbox","","",""
"DNS","protocol","Network","world-search","signpost","","",""
"DHCP","protocol","Network","ticket","router","","",""
"LDAP","protocol","Directory","list-tree","list-tree","","",""
"SNMP","protocol","Monitoring","gauge","gauge","","",""
"NTP","protocol","Network","clock-play","timer","","",""
"RTSP","protocol","Media","device-cctv","video","","",""
"VPN (IPsec/WG)","protocol","Security","shield-lock","shield-check","wireguard","WireGuard","#88171A"
"OAuth 2 / OIDC","protocol","Security","key","key-round","jsonwebtokens","JSON Web Tokens","#000000"
"RSS / Atom","protocol","Web","rss","rss","rss","RSS","#FFA500"
